date,product,sales,day,month,year,forecast,reorder_point
2023-01-01,Product_A,33,1,1,2023,36.611285714285714,190.50274526549083
2023-01-02,Product_A,28,2,1,2023,31.71646428571428,166.02863812263365
2023-01-03,Product_A,28,3,1,2023,30.006404761904765,157.47834050358608
2023-01-04,Product_A,32,4,1,2023,32.83957539682539,171.6441936781892
2023-01-05,Product_A,21,5,1,2023,29.80525,156.47256669406227
2023-01-06,Product_A,25,6,1,2023,28.667678571428564,150.78470955120508
2023-01-07,Product_A,26,7,1,2023,37.14126190476191,193.1526262178718
2023-01-08,Product_A,33,8,1,2023,39.55866666666666,205.23965002739556
2023-01-09,Product_A,28,9,1,2023,34.23349999999999,178.61381669406222
2023-01-10,Product_A,21,10,1,2023,29.1974761904762,153.43369764644325
2023-01-11,Product_A,26,11,1,2023,30.242333333333328,158.6579833607289
2023-01-12,Product_A,25,12,1,2023,30.939523809523806,162.14393574168128
2023-01-13,Product_A,26,13,1,2023,31.043579365079363,162.66421351945908
2023-01-14,Product_A,34,14,1,2023,38.40067460317461,199.44968970993529
2023-01-15,Product_A,34,15,1,2023,39.153761904761915,203.21512621787184
2023-01-16,Product_A,26,16,1,2023,30.547547619047624,160.18405478930038
2023-01-17,Product_A,27,17,1,2023,32.481880952380955,169.85572145596703
2023-01-18,Product_A,23,18,1,2023,29.5267142857143,155.07988812263375
2023-01-19,Product_A,27,19,1,2023,35.097285714285704,182.93274526549078
2023-01-20,Product_A,26,20,1,2023,29.475333333333328,154.8229833607289
2023-01-21,Product_A,42,21,1,2023,44.90152380952381,231.9539357416813
2023-01-22,Product_A,36,22,1,2023,35.64035714285714,185.64810240834797
2023-01-23,Product_A,24,23,1,2023,36.966528138528126,192.2789573867029
2023-01-24,Product_A,36,24,1,2023,33.78466666666666,176.36965002739555
2023-01-25,Product_A,17,25,1,2023,25.915619047619042,137.02441193215748
2023-01-26,Product_A,32,26,1,2023,36.581916666666665,190.3559000273956
2023-01-27,Product_A,31,27,1,2023,29.950803030303028,157.2003318455774
2023-01-28,Product_A,31,28,1,2023,38.14863852813852,198.18950933475486
